id,street_index,street,variant,status,reference_raw,reference,audio,sample_rate,channels,duration_sec
street_001_full,1,Абзелиловская,full,saved,Абзелиловская,абзелиловская,audio/street_001_full.wav,8000,1,1.536
street_001_short,1,Абзелиловская,short,skipped,,,,,,
street_001_natural,1,Абзелиловская,natural,skipped,,,,,,
street_002_full,2,Ак Кайын,full,saved,Ак Кайын,ак кайын,audio/street_002_full.wav,8000,1,2.603
street_002_short,2,Ак Кайын,short,skipped,,,,,,
street_002_natural,2,Ак Кайын,natural,skipped,,,,,,
street_003_full,3,Александра Пушкина,full,saved,Александра Пушкина,александра пушкина,audio/street_003_full.wav,8000,1,2.155
street_003_short,3,Александра Пушкина,short,skipped,,,,,,
street_003_natural,3,Александра Пушкина,natural,skipped,,,,,,
street_004_full,4,Ахмет Заки Валиди,full,saved,Ахмет Заки Валиди,ахмет заки валиди,audio/street_004_full.wav,8000,1,3.957
street_004_short,4,Ахмет Заки Валиди,short,skipped,,,,,,
street_004_natural,4,Ахмет Заки Валиди,natural,skipped,,,,,,
street_005_full,5,Ахмета Лутфуллина,full,saved,Ахмета Лутфуллина,ахмета лутфуллина,audio/street_005_full.wav,8000,1,2.709
street_005_short,5,Ахмета Лутфуллина,short,skipped,,,,,,
street_005_natural,5,Ахмета Лутфуллина,natural,skipped,,,,,,
street_006_full,6,Бииш Батыра,full,saved,Бииш Батыра,бииш батыра,audio/street_006_full.wav,8000,1,2.325
street_006_short,6,Бииш Батыра,short,skipped,,,,,,
street_006_natural,6,Бииш Батыра,natural,skipped,,,,,,
street_007_full,7,Валиахмета Сулейманова,full,saved,Валиахмета Сулейманова,валиахмета сулейманова,audio/street_007_full.wav,8000,1,3.467
street_007_short,7,Валиахмета Сулейманова,short,skipped,,,,,,
street_007_natural,7,Валиахмета Сулейманова,natural,skipped,,,,,,
street_008_full,8,Вафира Тайсина,full,saved,Вафира Тайсина,вафира тайсина,audio/street_008_full.wav,8000,1,2.293
street_008_short,8,Вафира Тайсина,short,skipped,,,,,,
street_008_natural,8,Вафира Тайсина,natural,skipped,,,,,,
street_009_full,9,Весенняя,full,saved,Весенняя,весенняя,audio/street_009_full.wav,8000,1,2.741
street_009_short,9,Весенняя,short,skipped,,,,,,
street_009_natural,9,Весенняя,natural,skipped,,,,,,
street_010_full,10,Гагарина,full,saved,Гагарина,гагарина,audio/street_010_full.wav,8000,1,1.696
street_010_short,10,Гагарина,short,skipped,,,,,,
street_010_natural,10,Гагарина,natural,skipped,,,,,,
street_011_full,11,Гинията Ушанова,full,saved,Гинията Ушанова,гинията ушанова,audio/street_011_full.wav,8000,1,2.667
street_011_short,11,Гинията Ушанова,short,skipped,,,,,,
street_011_natural,11,Гинията Ушанова,natural,skipped,,,,,,
street_012_full,12,Горная,full,saved,Горная,горная,audio/street_012_full.wav,8000,1,4.021
street_012_short,12,Горная,short,skipped,,,,,,
street_012_natural,12,Горная,natural,skipped,,,,,,
street_013_full,13,Дружбы,full,saved,Дружбы,дружбы,audio/street_013_full.wav,8000,1,2.336
street_013_short,13,Дружбы,short,skipped,,,,,,
street_013_natural,13,Дружбы,natural,skipped,,,,,,
street_014_full,14,Емельяна Пугачева,full,saved,Емельяна Пугачева,емельяна пугачева,audio/street_014_full.wav,8000,1,2.997
street_014_short,14,Емельяна Пугачева,short,skipped,,,,,,
street_014_natural,14,Емельяна Пугачева,natural,skipped,,,,,,
street_015_full,15,Загира Исмагилова,full,saved,Загира Исмагилова,загира исмагилова,audio/street_015_full.wav,8000,1,3.051
street_015_short,15,Загира Исмагилова,short,skipped,,,,,,
street_015_natural,15,Загира Исмагилова,natural,skipped,,,,,,
street_016_full,16,Зайнаб Биишевой,full,saved,Зайнаб Биишевой,зайнаб биишевой,audio/street_016_full.wav,8000,1,2.539
street_016_short,16,Зайнаб Биишевой,short,skipped,,,,,,
street_016_natural,16,Зайнаб Биишевой,natural,skipped,,,,,,
street_017_full,17,Идяш,full,saved,Идяш,идяш,audio/street_017_full.wav,8000,1,1.429
street_017_short,17,Идяш,short,skipped,,,,,,
street_017_natural,17,Идяш,natural,skipped,,,,,,
street_018_full,18,Иншара Султанбаева,full,saved,Иншара Султанбаева,иншара султанбаева,audio/street_018_full.wav,8000,1,2.709
street_018_short,18,Иншара Султанбаева,short,skipped,,,,,,
street_018_natural,18,Иншара Султанбаева,natural,skipped,,,,,,
street_019_full,19,Ирандык,full,saved,Ирандык,ирандык,audio/street_019_full.wav,8000,1,1.408
street_019_short,19,Ирандык,short,skipped,,,,,,
street_019_natural,19,Ирандык,natural,skipped,,,,,,
street_020_full,20,Искра,full,saved,Искра,искра,audio/street_020_full.wav,8000,1,1.749
street_020_short,20,Искра,short,skipped,,,,,,
street_020_natural,20,Искра,natural,skipped,,,,,,
street_021_full,21,Ишмурзы Хидиятова,full,saved,Ишмурзы Хидиятова,ишмурзы хидиятова,audio/street_021_full.wav,8000,1,2.944
street_021_short,21,Ишмурзы Хидиятова,short,skipped,,,,,,
street_021_natural,21,Ишмурзы Хидиятова,natural,skipped,,,,,,
street_022_full,22,Ишмухамета Мырзакаева,full,saved,Ишмухамета Мырзакаева,ишмухамета мырзакаева,audio/street_022_full.wav,8000,1,3.424
street_022_short,22,Ишмухамета Мырзакаева,short,skipped,,,,,,
street_022_natural,22,Ишмухамета Мырзакаева,natural,skipped,,,,,,
street_023_full,23,Караташ,full,saved,Караташ,караташ,audio/street_023_full.wav,8000,1,1.973
street_023_short,23,Караташ,short,skipped,,,,,,
street_023_natural,23,Караташ,natural,skipped,,,,,,
street_024_full,24,Кима Ахмедьянова,full,saved,Кима Ахмедьянова,кима ахмедьянова,audio/street_024_full.wav,8000,1,3.851
street_024_short,24,Кима Ахмедьянова,short,skipped,,,,,,
street_024_natural,24,Кима Ахмедьянова,natural,skipped,,,,,,
street_025_full,25,Кирова,full,saved,Кирова,кирова,audio/street_025_full.wav,8000,1,1.312
street_025_short,25,Кирова,short,skipped,,,,,,
street_025_natural,25,Кирова,natural,skipped,,,,,,
street_026_full,26,Колхозная,full,saved,Колхозная,колхозная,audio/street_026_full.wav,8000,1,1.739
street_026_short,26,Колхозная,short,skipped,,,,,,
street_026_natural,26,Колхозная,natural,skipped,,,,,,
street_027_full,27,Комарова,full,saved,Комарова,комарова,audio/street_027_full.wav,8000,1,3.765
street_027_short,27,Комарова,short,skipped,,,,,,
street_027_natural,27,Комарова,natural,skipped,,,,,,
street_028_full,28,Коммунистическая,full,saved,Коммунистическая,коммунистическая,audio/street_028_full.wav,8000,1,2.261
street_028_short,28,Коммунистическая,short,skipped,,,,,,
street_028_natural,28,Коммунистическая,natural,skipped,,,,,,
street_029_full,29,Комсомольская,full,saved,Комсомольская,комсомольская,audio/street_029_full.wav,8000,1,1.824
street_029_short,29,Комсомольская,short,skipped,,,,,,
street_029_natural,29,Комсомольская,natural,skipped,,,,,,
street_030_full,30,Курьятмас,full,saved,Курьятмас,курьятмас,audio/street_030_full.wav,8000,1,2.027
street_030_short,30,Курьятмас,short,skipped,,,,,,
street_030_natural,30,Курьятмас,natural,skipped,,,,,,
street_031_full,31,Ленина,full,saved,Ленина,ленина,audio/street_031_full.wav,8000,1,1.621
street_031_short,31,Ленина,short,skipped,,,,,,
street_031_natural,31,Ленина,natural,skipped,,,,,,
street_032_full,32,Лесная,full,saved,Лесная,лесная,audio/street_032_full.wav,8000,1,1.536
street_032_short,32,Лесная,short,skipped,,,,,,
street_032_natural,32,Лесная,natural,skipped,,,,,,
street_033_full,33,Луговая,full,saved,Луговая,луговая,audio/street_033_full.wav,8000,1,1.643
street_033_short,33,Луговая,short,skipped,,,,,,
street_033_natural,33,Луговая,natural,skipped,,,,,,
